,Tweet,User - Location,User - Followers,Classificacao,Sentimento,NaiveBayes
1157,hoj declaraca acefal genoc milici corrupt tud desvi foc abingat gsi reunio proteg rach #pedeprasairbolsonar,Brasil / RJ - Campo Grande,813,Neutro,2,Neutro
1841,drog carg goiab export antuerp belg carg selecion conferenc mei criteri obje analis risc inclu inspeca intrus imag escan #acoesdareceit #adu #rfb #sant,"Análise, Antártica",201,Positivo,1,Positivo
2785,to list 30 empr faz simpl nacion ate amanh sit simples morr alo,"Teresina, Brasil",94,Negativo,0,Negativo
1502,sab pendenc relat cpf pod ser regular grac canal virtual cas opt red conveni banc brasil caix econom feder correi cartori cust apen 7,São Paulo,294,Positivo,1,Positivo
2035,flavi bolsonar advog tre reunio ped dad ate aparelh,İtália,200,Negativo,0,Negativo
1585,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,DF,5919,Positivo,1,Positivo
2420,estud audi calcul diferenc alt acumul inflaca correco tabel ir 24 ano atual faix isenca limit 1 73 salari min,"Brasília, Brasil",2121,Neutro,2,Neutro
711,consegu detect roub poli ladro princip lul filh alt autoridad judiciari ja mort experiment mand declaraca falt 0 01 sistem brut,,277,Negativo,0,Negativo
2783,port simpl nacion problem desd sextaf 15/01 hein,"São Paulo, Brasil",137,Negativo,0,Negativo
2955,peg aqu imag whatsapp #impeachmentbolsonarourg,"London, England",23,Neutro,2,Neutro
1911,relaca dificuldad enfrent import fronteir brasil paragu alfandeg mund nov inform adot tod providenc reduz fil caminho acumul ult dia acess,,4135,Negativo,0,Neutro
2233,trist agend cois,,625,Negativo,0,Negativo
2908,sao paul #querobolsonaroate2026,,9568,Neutro,2,Neutro
2488,decisa tarif importaca cab govern mas trat govern bolsonar reduz deves apont ond ser compens feit car sao incompet,Belo Horizonte,760,Negativo,0,Negativo
195,capita pai man,"Rio de Janeiro, Brasil",190,Neutro,2,Neutro
2242,decepca atend,Brasília,84,Negativo,0,Negativo
415,vere exib arm uso exclus forc arm ganh pres ganh qu port pod tud ai,"Rio de Janeiro, Brasil",184,Neutro,2,Negativo
2650,apes ter sid legitim eleit hoj pra poli proautoritar desprez process eleitor suspeit intervenca cooptaca instituico abin polic feder ha metod ness atitud #bolsonaroarmagolp,"Fortaleza, Brasil",609,Neutro,2,Neutro
2781,ai voc fiscaliz red soc,,327,Negativo,0,Neutro
3015,boa tard mand email dad voc dar cpf voc respond,Maputo city,23,Negativo,0,Negativo
1149,flumin fech acord pgfn reduz quas 20 milho div govern brasil jeit dirig club roub club pov pag vergonh,Estados Unidos,3405,Negativo,0,Negativo
2927,vir sp #dorianacade,"São Paulo, Brasil",4362,Neutro,2,Positivo
1526,#3 junt pod dar golp fatal milic organizaco #pcc ha temp deix ser gangu cade atu organizaca crim transnac signif traf vir mei fim $$ pod,Estados Unidos,3101,Positivo,1,Positivo
2786,impression fich financ 2020 mostr 25% rend fic,,20,Negativo,0,Neutro
2559,man quant temp porr vai prend roup caralh roupaaaaaaa arrombadooooo roupaaaaaaaa,,737,Negativo,0,Negativo
2302,so hoj ja estress banc itau correi menos hor bat record,"São Paulo, Brasil",3484,Negativo,0,Negativo
2980,praz solic term opca simpl nacion termin dia 29 dest me saib mais #receitafeder #serv #simplesnac #empr,Brasil,334,Neutro,2,Neutro
2019,flavi bolsonar advog tre reunio ped dad ate aparelh,,337,Negativo,0,Negativo
537,av cidada brasil #mp1000 #hoj,,11,Positivo,1,Negativo
1167,compr shein ser tax,,693,Negativo,0,Negativo
2733,funcion download program irpf 2020 fac baix link dand err,"sao paulo, brazil",499,Negativo,0,Negativo
1793,#record manh 22/12 equip alfandeg sant apreend 2 932 kg cocain drog cuidados ocult carreg bobin alumini destin port roterd holand saib mais #rfb #adu,Vitoria ES,309,Positivo,1,Positivo
914,olh teor soneg impost ja vou ter dinh tend dinh pag advog pod soneg impost,Forks,358,Negativo,0,Negativo
2386,vend encomend shein cheg,,300,Negativo,0,Negativo
1638,agradec rep govern feder,"Leiria, Portugal",905,Positivo,1,Neutro
2533,tax pq import colh silicon cheg 50 dol kkkkkkkk brinc sit horri permit realiz cadastr ver quant tax,Far Far Way,282,Negativo,0,Negativo
2577,impost mei tao car 60 me ter cnpj ta long ser alg acessi infern,Triste nos Pampas,4876,Negativo,0,Negativo
2566,ness pal so pobr dev,"Belo Horizonte, Brazil",29,Negativo,0,Negativo
1456,merend lix,João Pessoa-PB ,1285,Neutro,2,Neutro
961,#balanc | gued prim combat cam + vulnera populaca fic disposica imped exportaca produt precisav us ventil pulmon reduz tarif 500 produt medic hospital,"Brasília, DF, Brasil",691729,Positivo,1,Positivo
146,cpf numer err,Arujá - São Paulo - Brasil,3381,Neutro,2,Negativo
1120,eae atualiz sistem cobr outr rap ne hor atual sistem dem lesm,,513,Negativo,0,Negativo
779,quer 3 centav volt,,423,Neutro,2,Negativo
2479,min vou tent amanh fzr pq ta fod vari process atras previsa volt normal val irma,,1062,Negativo,0,Negativo
1521,#operacaoconcord deflagr apoi polic militar/rn polic civil/rn corp bombeiros/rn saib em,"Alvorada, Brasil",4203,Positivo,1,Positivo
1094,deix aqu registr odi secret fazend rs,"Não-Me-Toque, Brasil",152,Negativo,0,Negativo
595,cobr impost ching ling espalh pal alem falsific n emit not sequ sao milh tod recant pal esta zomb car brasil instituica responsa tal,Brazil ,113,Negativo,0,Negativo
2096,inform program ger document arrecadaca simpl nacion microempreend individ pgm send ajust adequaca calcul #ins bas nov val salari min agenc brasil /arq,,90,Positivo,1,Positivo
1257,arrecadaca melhor desempenh novembr seil ano marcel camargo/agenc brasil,Rio de Janeiro / RJ (Brasil),1607,Positivo,1,Positivo
2492,amig pf mpf agir independenc ir prend fals bisp pastor infiltr poli atual govern clar banc bolsonar campanh caix 1 2 3 ai vai,,3,Neutro,2,Neutro
2664,alo,,206,Negativo,0,Negativo
2243,sei diz apen junt voc tac fog federal/correi seri liter merd ver correi trat pacot outr nenhum cuid ta ai dentr pod danific,"Niterói, Brasil",33526,Negativo,0,Negativo
1699,pf junt deflagr 79a fas #lavajat denomin vernissag nest fas investigaco esta concentr esquem compr obr art lav capit oriund pag propin,,198,Positivo,1,Positivo
854,cal boc man,depende o momento,183,Neutro,2,Neutro
36,vai material ne,"São Paulo, Brasil",2904,Neutro,2,Neutro
1050,ambos problem,Brasília-DF Brasil,3522,Neutro,2,Neutro
2426,olh q louc polic feder mpf usa convers traf ileg mad cont cresc apreenso mad brasil ta falt algu ai ah conden proib ibam viaj,,2348,Neutro,2,Neutro
264,nov ced,,3129,Positivo,1,Negativo
